KAN_Feature_1,KAN_Feature_2,KAN_Feature_3,KAN_Feature_4,KAN_Feature_5,Mamba_TimeStep_1_Feature_1,Mamba_TimeStep_1_Feature_2,Mamba_TimeStep_1_Feature_3,Mamba_TimeStep_2_Feature_1,Mamba_TimeStep_2_Feature_2,Mamba_TimeStep_2_Feature_3,Mamba_TimeStep_3_Feature_1,Mamba_TimeStep_3_Feature_2,Mamba_TimeStep_3_Feature_3,Mamba_TimeStep_4_Feature_1,Mamba_TimeStep_4_Feature_2,Mamba_TimeStep_4_Feature_3,Mamba_TimeStep_5_Feature_1,Mamba_TimeStep_5_Feature_2,Mamba_TimeStep_5_Feature_3,Mamba_TimeStep_6_Feature_1,Mamba_TimeStep_6_Feature_2,Mamba_TimeStep_6_Feature_3,Mamba_TimeStep_7_Feature_1,Mamba_TimeStep_7_Feature_2,Mamba_TimeStep_7_Feature_3,Mamba_TimeStep_8_Feature_1,Mamba_TimeStep_8_Feature_2,Mamba_TimeStep_8_Feature_3,Mamba_TimeStep_9_Feature_1,Mamba_TimeStep_9_Feature_2,Mamba_TimeStep_9_Feature_3,Mamba_TimeStep_10_Feature_1,Mamba_TimeStep_10_Feature_2,Mamba_TimeStep_10_Feature_3,Target
13.234039,13.7250595,5.742956,14.389585,5.8567233,0.09966561,0.058428228,0.022657216,0.38287055,0.327312,0.37763578,0.7067525,0.67413694,0.68028283,0.8443725,0.8820665,0.92097515,0.9852778,0.99854743,1.0557282,1.0597669,1.0687816,0.9987821,0.99111986,0.9483918,0.9698057,0.813501,0.7270079,0.78739154,0.46207142,0.54428947,0.5219541,0.19668348,0.17108943,0.20997176,18.259735
9.013431,3.8485873,11.90462,14.111572,1.9977889,0.02404728,0.05955788,0.091989174,0.3396646,0.3629285,0.38887313,0.67704874,0.6690574,0.71138585,0.87847775,0.9043686,0.9179691,1.0122433,1.0546095,1.0545928,1.067673,1.0332096,1.0888385,0.9304063,0.9747507,0.9693369,0.8083773,0.7321027,0.7818027,0.47847804,0.53377414,0.52444226,0.15222575,0.18798968,0.20510672,27.77177
14.018971,8.903695,13.041066,8.515729,11.116411,0.071299516,0.09448188,0.072454594,0.38673022,0.40386644,0.32988247,0.70170623,0.6624911,0.696668,0.90578914,0.8888342,0.9266665,0.99279004,1.0360379,1.0438566,1.0276139,1.0635213,0.9959504,0.934044,0.98360765,0.9850684,0.7271911,0.79038936,0.7777874,0.5560798,0.4585033,0.4953558,0.1628031,0.16069607,0.18295366,57.196926
6.4410677,13.281644,8.608567,3.9987006,9.411737,0.0040462078,0.08917262,0.03230996,0.39471433,0.34777322,0.37746432,0.63294816,0.70861393,0.7105386,0.9308355,0.87396723,0.9225903,0.98016274,1.0448799,1.0157663,1.0039742,1.0052804,0.9986185,0.968667,0.941213,0.9362692,0.82068616,0.75785214,0.7899508,0.49847043,0.53742653,0.5221933,0.22278297,0.20417592,0.1801616,20.45624
4.044475,6.620454,4.4538126,12.475283,1.5797236,0.0941915,0.04643544,0.02006783,0.39275432,0.37112743,0.34011316,0.67491055,0.65675235,0.64845824,0.86760765,0.87019295,0.87122285,1.0268508,1.0702413,0.99263114,1.022082,1.0118906,1.0435107,0.9628031,0.9249777,0.9821359,0.7282426,0.8193641,0.7824954,0.50223327,0.48936927,0.5297226,0.22763169,0.15841559,0.17858712,-3.9208689
4.0424223,5.3821893,2.9904566,8.207873,0.09240657,0.086807795,0.040629655,0.013182986,0.36112642,0.37892187,0.36786038,0.634105,0.6370452,0.68188924,0.925778,0.936957,0.8858195,1.0411756,0.98222685,1.0485812,1.0931855,1.0714452,1.0256389,1.0000634,0.91194355,0.95329756,0.7606971,0.7232126,0.74456215,0.47084326,0.5207111,0.5031135,0.21408367,0.17987227,0.232364,-1.9549164
14.273318,1.1289883,13.290205,8.748143,5.064716,0.055663407,0.09144709,0.09060241,0.33479214,0.3436162,0.40731105,0.7156084,0.6256941,0.6691016,0.87224793,0.9385441,0.9330071,1.058328,1.048845,1.0172478,1.0915449,1.0220104,1.0478791,0.94614154,0.9228221,0.9356031,0.78520894,0.7686249,0.7399634,0.500916,0.5159079,0.47228998,0.22131678,0.1486106,0.19159837,62.10549
12.1346245,8.66888,13.559725,8.319898,5.1347013,0.009098852,0.0049122754,0.04378892,0.42257348,0.4244619,0.39516515,0.70712477,0.6410374,0.6965195,0.9219792,0.843686,0.8531544,1.043539,1.0265582,0.9880939,1.0059518,1.0815444,1.0508701,0.95918673,0.9109616,1.003167,0.740033,0.79536533,0.76707375,0.50890183,0.5318231,0.4939531,0.1770927,0.2309792,0.152806,41.0939
9.515127,5.466154,10.656431,14.196166,11.835446,0.07225043,0.037096467,0.033293422,0.41066557,0.38563597,0.33064398,0.71305096,0.6435597,0.7115941,0.87577873,0.9402229,0.90622103,1.0195225,1.0410246,1.020383,1.0206088,1.0727584,1.0778389,0.95303345,1.0063283,0.9624727,0.7466432,0.74583846,0.8067274,0.4870182,0.53885293,0.4587029,0.19284236,0.15657271,0.20885617,43.833
4.221206,11.829485,8.841947,11.308763,2.9287121,0.09060612,0.069675595,0.03280867,0.33028919,0.35350472,0.34770387,0.7161157,0.64148664,0.6877025,0.9316093,0.90949684,0.8475957,1.0162581,1.007098,1.0541534,1.0407177,1.0427707,1.0898865,0.9711955,0.98247516,0.94320196,0.80578464,0.780275,0.7630423,0.5169082,0.46791533,0.50911105,0.21405065,0.14430071,0.164561,-2.6729524
